type,curve,i,t
TS80T,,2.47712125471966;2.50514997831991;2.53147891704225;2.55630250076729;2.57978359661681;2.60205999132796;2.6232492903979;2.64345267648619;2.66275783168157;2.68124123737559;2.69897000433602;2.74036268949424;2.77815125038364;2.81291335664286;2.84509804001426;2.8750612633917;2.90308998699194;2.92941892571429;2.95424250943932;2.97772360528885;3;3.07918124604762;3.14612803567824;3.20411998265592;3.25527250510331;3.30102999566398;3.34242268082221;3.38021124171161;3.41497334797082;3.44715803134222;3.47712125471966;3.50514997831991;3.53147891704225;3.55630250076729;3.57978359661681;3.60205999132796;3.6232492903979;3.64345267648619;3.66275783168157;3.68124123737559;3.69897000433602;3.7160033436348;3.73239375982297;3.7481880270062;3.76342799356294,1.05958497596275;0.961442605596954;0.876917766605012;0.802412039867254;0.735618407910003;0.674965707032326;0.619333430515657;0.567892852999249;0.520012722040158;0.475200352924906;0.43306326602699;0.337472520691448;0.253098496970242;0.177533141817223;0.109102357509942;0.046589899204779;-0.0109189331814861;-0.0641314975947188;-0.113607503101895;-0.159798423151126;-0.203074426987498;-0.35251293885851;-0.473143880543002;-0.572859600125172;-0.656647828109089;-0.72790306891736;-0.789062879652998;-0.841949027045769;-0.887964880521655;-0.928216841375395;-0.963592963828656;-0.994816128237464;-1.02248137280481;-1.04708295268744;-1.0690344889868;-1.08868431403428;-1.1063273781941;-1.12221463154565;-1.13656050978323;-1.14954896985793;-1.16133839854713;-1.17206563350611;-1.18184927772781;-1.19079244627025;-1.19791074211827
TS100T,,2.47712125471966;2.50514997831991;2.53147891704225;2.55630250076729;2.57978359661681;2.60205999132796;2.6232492903979;2.64345267648619;2.66275783168157;2.68124123737559;2.69897000433602;2.74036268949424;2.77815125038364;2.81291335664286;2.84509804001426;2.8750612633917;2.90308998699194;2.92941892571429;2.95424250943932;2.97772360528885;3;3.07918124604762;3.14612803567824;3.20411998265592;3.25527250510331;3.30102999566398;3.34242268082221;3.38021124171161;3.41497334797082;3.44715803134222;3.47712125471966;3.50514997831991;3.53147891704225;3.55630250076729;3.57978359661681;3.60205999132796;3.6232492903979;3.64345267648619;3.66275783168157;3.68124123737559;3.69897000433602;3.7160033436348;3.73239375982297;3.7481880270062;3.76342799356294;3.77815125038364;3.79239168949825;3.79934054945358,1.47352065351035;1.32571499806172;1.20954734659245;1.11313252769347;1.03029230511774;0.957395733211347;0.892123178105246;0.832899912666084;0.778606202635565;0.728416195042105;0.681702484091935;0.57716171607695;0.486198367585888;0.40551550232449;0.332932248344936;0.266923950319545;0.206378563652223;0.150457360921907;0.0985103648044663;0.0500224629030143;0.00457767676374763;-0.152808524261547;-0.280910978210762;-0.388011699689869;-0.479207488969513;-0.557894151778427;-0.626468730756327;-0.686699206851747;-0.739935075949433;-0.787234840451442;-0.829447100740788;-0.867264304609864;-0.901259657195602;-0.931913264424764;-0.959631165157175;-0.984759528249985;-1.00759547469599;-1.02839548657033;-1.04738205166574;-1.06474899150933;-1.08066578821252;-1.09528113690703;-1.10872588987803;-1.12111551628201;-1.13255217141032;-1.14312644788126;-1.15291886532287;-1.15754460206767
TS150E,,2.66275783168157;2.68124123737559;2.69897000433602;2.74036268949424;2.77815125038364;2.81291335664286;2.84509804001426;2.8750612633917;2.90308998699194;2.92941892571429;2.95424250943932;2.97772360528885;3;3.07918124604762;3.14612803567824;3.20411998265592;3.25527250510331;3.30102999566398;3.34242268082221;3.38021124171161;3.41497334797082;3.44715803134222;3.47712125471966;3.50514997831991;3.53147891704225;3.55630250076729;3.57978359661681;3.60205999132796;3.6232492903979;3.64345267648619;3.66275783168157;3.68124123737559;3.69897000433602;3.7160033436348;3.73239375982297;3.7481880270062;3.76342799356294;3.77815125038364;3.79239168949825;3.79934054945358,1.85566796323033;1.48778081586658;1.28532489067638;0.985929313215719;0.798141851459087;0.65886908015304;0.547146494933058;0.453357696726475;0.372268365576709;0.300702605652227;0.236581902425732;0.178467526495401;0.125319579464233;-0.0507721480243927;-0.186882967633386;-0.296663697685468;-0.387544793054728;-0.464110040427743;-0.52943393527072;-0.58570453213447;-0.634548103481061;-0.677213295214221;-0.714682802980497;-0.747744907842768;-0.777041451775932;-0.803101287539025;-0.826364381905249;-0.847199673534942;-0.8659186158123;-0.882785648887396;-0.898026429018282;-0.911834382767962;-0.924375985607831;-0.935795053096789;-0.946216257005455;-0.955748025893133;-0.96448495193646;-0.972509798348359;-0.979895181354262;-0.983368345027909
