type,curve,i,t
120,,0;0.102810890916915;0.242118854004543;0.346978533769315;0.461063113703551;0.565753396565981;0.675026379926308;0.816234669491063;0.952637483145243;1.11380301911148;1.27035037136382;1.42220067161439;1.57184503686714;2.08559059098146,0.98245215138499;0.73303668293358;0.4184670209466;0.189209489582306;-0.0195421077238999;-0.206209615309181;-0.374687549038326;-0.571865205971211;-0.728158393463501;-0.869666231504994;-0.94692155651658;-1.01772876696043;-1.05060999335509;-1.05060999335509
121,,0;0.08639542712425;0.133538908370218;0.1655707406329;0.180641902729832;0.195871989459328;0.210532537069397;0.232843699623121;0.308564413561239;0.417803722639881;0.555541819633662;0.670681784654704;0.807832573426382;2.07734028400362,1.03642926562667;0.792321636351573;0.543695632309245;0.229937685907934;-0.476253533188435;-0.962573502059376;-1.35654732351381;-1.58502665202918;-1.74472749489669;-1.88605664769316;-1.95860731484178;-1.95860731484178;-1.95860731484178;-1.95860731484178
122,,0;0.115543948032219;0.196369653167609;0.332115143703462;0.479762403719702;0.579863590864233;0.625836992323401;0.660637840461187;0.686618396693641;0.727833941178848;0.790545521888855;0.907282343251658;1.07062884405143;1.17015606334656;2.08726236712803,0.975615597966895;0.75876054390998;0.597804842404293;0.338456493604605;0.0228406108765278;-0.288192770958809;-0.609064892896621;-0.924453038607469;-1.2839966563652;-1.56863623584101;-1.74472749489669;-1.88605664769316;-1.95860731484178;-1.95860731484178;-1.95860731484178
131,,0;0.126033948051813;0.320333262618385;0.498958065786385;0.713196433725248;2.0943428827775,1.04746957461986;0.944827996343216;0.842983470122218;0.779091203845499;0.737907923374639;0.724930914192398
132,,0;0.0714401271778876;0.159356611622227;0.317457405732374;0.351255033547635;0.637809828647623;0.81397441053803;0.987550080080597;1.13200980224397;1.27881302665816;1.38487647495948;1.52041409247607;2.09672340001129,1.3295809157419;0.95751151145448;0.682596291460553;0.34222522936079;0.290034611362518;-0.347753658996677;-0.732828271596986;-1.13076828026902;-1.39794000867204;-1.63827216398241;-1.76955107862173;-1.79588001734408;-1.82390874094432
133,,0;0.301377292349345;0.624189243859756;0.897797477216136;1.2145259552811;1.36304571200951;1.51147292584761;1.64231907154072;1.78202519945145;2.0911891467459,1.14528965905415;0.463743721247059;-0.175223537524454;-0.643974142806877;-1.09151498112135;-1.2518119729938;-1.35654732351381;-1.39794000867204;-1.42021640338319;-1.42021640338319
134,,0;0.0565237240791004;0.147985320683805;0.244103863376508;0.339908352955007;0.458471652384231;0.592698485848185;0.727004156583357;0.856100248889671;0.998943380095222;2.09657808521131,1.16719914329775;1.00298634085678;0.75350645699097;0.508395033133053;0.27943878828702;0.0499928569201426;-0.149966742310231;-0.300162274132754;-0.371611069949688;-0.384049948343599;-0.391473966422806
135,,0;0.132451812729003;0.347427598618541;0.553688885164601;0.780526126607946;1.01002419389996;1.24631881855684;1.49443428980195;2.08729646883563,1.16758314796584;0.891704676239183;0.502836638621003;0.193124598354462;-0.0560111249262281;-0.214670164989233;-0.279014255846261;-0.282329496997738;-0.286509456906058
136,,0;0.045049012988961;0.101300180467685;0.202733458045443;0.326335860928751;0.426852707035369;0.543335330190906;0.637009138004335;0.730661172961165;0.824704941028245;0.896443539350796;0.994075077145827;1.09954943535927;1.21126741799619;1.30176116602781;1.43688904499887;2.08309178078394,1.39767935377861;1.14435622736818;0.884512159190394;0.604873770552636;0.38147609027503;0.209783014848515;0.00646604224923168;-0.147520006363144;-0.328827157284917;-0.525783735923745;-0.7594507517174;-1.10237290870956;-1.58502665202918;-1.76955107862173;-1.82390874094432;-1.82390874094432;-1.82390874094432
137,,0;0.110825310054965;0.254306332331286;0.402691164263039;0.486982737191759;0.591643280638968;0.762768563620392;0.915252054962767;1.06707085604537;1.24087110593152;1.38929901130999;2.08936031288769,1.33709969636168;1.09338666000137;0.890476908960171;0.656002320682957;0.546666025070184;0.401745082237063;0.127104798364808;-0.0443122496864942;-0.168770306132937;-0.215382707367125;-0.216811308924742;-0.222573177610689
138,,0;0.214923284894897;0.405380514906717;0.466200102446737;0.553725293303273;0.605261937849655;0.717570653712961;0.881087796950683;1.0833054942703;1.21354166245663;1.35079442019751;1.46786697742451;1.6054300359943;2.09042701035955,1.31542451193752;0.923036668670786;0.575534218319864;0.487845120111436;0.362293937964231;0.272537777375237;0.0773679052841565;-0.22767829327708;-0.525783735923745;-0.677780705266081;-0.812479279163537;-0.889410289700751;-0.928117992693875;-0.928117992693875
139,,0;0.0646451447919365;0.191255342246265;0.35566219858541;0.515834119838739;0.657189755620881;0.807852853188326;0.946938363387819;1.0635847790773;1.18459207104159;1.2924000737111;1.38405039566668;1.43229248233176;1.49422140341507;1.61414075872198;1.71814613602417;2.10391587071839,1.36267092972567;1.02759421182623;0.661718057694659;0.38147609027503;0.0809870469108872;-0.147520006363144;-0.377785977033705;-0.614393726401688;-0.809668301829709;-1.04095860767891;-1.26760624017703;-1.46852108295774;-1.61978875828839;-1.74472749489669;-1.79588001734408;-1.82390874094432;-1.82390874094432
140,,0;0.11544408343624;0.305673745669693;0.534559122932602;0.745504187086988;0.97500879735575;1.17085113409551;1.34444336414831;2.09296613759436,1.44062575413395;1.16485824696256;0.773786444981194;0.450403086155366;0.224014811372864;0.0674428427763807;0.00346053210950649;-0.0154726866562074;-0.0154726866562074
141,,0;0.17379793037046;0.352568386179309;0.562197666191757;0.787644638671184;2.09668864012948,1.33485568961729;1.18332679660163;1.09680576982272;1.05126831887039;1.02796085978545;1.01694981309756
