type,curve,i,t
20E_25kV,Melting,1.602082;1.619886;1.635956;1.654629;1.665487;1.679818;1.695893;1.714128;1.733679;1.754952;1.778838;1.801856;1.826612;1.846591;1.873518;1.900012;1.929542;1.95864;2.00337;2.045933;2.088058;2.130186;2.235718;2.31476;2.384248;2.458512;2.538422;2.618332;2.687819;2.726906;2.763386;2.79509;2.830702;2.865879;2.906703;2.947961;2.984442;3.017447;3.071145;4.210853,2.784633;1.539941;1.334086;1.189032;1.12215;1.048752;0.979266;0.909781;0.839855;0.769503;0.699578;0.635735;0.56799;0.514999;0.448552;0.385159;0.315656;0.250518;0.150204;0.057704;-0.03091;-0.116907;-0.332734;-0.488651;-0.625802;-0.774949;-0.932185;-1.094744;-1.231362;-1.310691;-1.38405;-1.446117;-1.518557;-1.58838;-1.669586;-1.752027;-1.826814;-1.89279;-2;-2
20E_25kV,Clearing,1.648116;1.659412;1.675476;1.697194;1.729335;1.777108;1.839208;1.89089;1.946477;1.995556;2.054617;2.113248;2.177522;2.241798;2.318235;2.382944;2.450694;2.506284;2.56144;2.624412;2.682173;2.744277;2.818541;2.894977;2.971413;3.051758;3.125589;3.184217;3.239807;3.297568;3.354026;3.432633;3.613299;3.741416;3.83783;3.957694;4.075821;4.173539;4.210452;4.210452,2.77725;1.664585;1.446568;1.235066;1.04528;0.860703;0.671784;0.532805;0.392961;0.281352;0.148448;0.023376;-0.10386;-0.228927;-0.37789;-0.495122;-0.614572;-0.70708;-0.793984;-0.886057;-0.962175;-1.042393;-1.134304;-1.221126;-1.303644;-1.383;-1.44855;-1.493495;-1.531653;-1.563837;-1.59176;-1.623423;-1.681937;-1.714443;-1.735182;-1.754487;-1.769551;-1.779892;-1.785156;-2
25E_25kV,Melting,1.700236;1.719779;1.741057;1.761905;1.792308;1.824009;1.853108;1.871783;1.888719;1.909567;1.928672;1.951692;1.972101;1.994251;2.018572;2.086321;2.121501;2.151465;2.180129;2.211398;2.253091;2.282189;2.309549;2.33691;2.371219;2.407265;2.443746;2.482832;2.561005;2.603131;2.664367;2.707797;2.7547;2.840691;2.8902;2.947527;3.000512;3.070865;3.133219;4.210853,2.785067;1.365355;1.158197;1.03529;0.89545;0.766026;0.666143;0.614454;0.566685;0.511536;0.461153;0.405124;0.360404;0.312622;0.257463;0.105885;0.029465;-0.034375;-0.095176;-0.158578;-0.242832;-0.298864;-0.351835;-0.40749;-0.476514;-0.546835;-0.621057;-0.698753;-0.854182;-0.937794;-1.059982;-1.14752;-1.241088;-1.412289;-1.514279;-1.625252;-1.732828;-1.872895;-2;-2
25E_25kV,Clearing,1.742364;1.759736;1.782315;1.813154;1.859619;1.893928;1.940835;1.996857;2.062871;2.180565;2.241365;2.315195;2.389894;2.460683;2.52409;2.584457;2.652207;2.717785;2.781626;2.850679;2.919732;2.990956;3.063048;3.129931;3.191599;3.252836;3.312334;3.334482;3.363145;3.394849;3.42829;3.506463;3.598099;3.689301;3.774857;3.878653;3.975501;4.07452;4.208283;4.208283,2.778986;1.515621;1.242449;1.037028;0.831172;0.709567;0.572767;0.423361;0.272236;0.012964;-0.115148;-0.26019;-0.399136;-0.526367;-0.638839;-0.736127;-0.841336;-0.932557;-1.018181;-1.099087;-1.173925;-1.248721;-1.318759;-1.380907;-1.432974;-1.478862;-1.521434;-1.534617;-1.551294;-1.568636;-1.585027;-1.619789;-1.653647;-1.68403;-1.709965;-1.737549;-1.754487;-1.769551;-1.785156;-2
30E_25kV,Melting,1.778838;1.793176;1.800992;1.810978;1.823142;1.836166;1.850499;1.87048;1.892629;1.917815;1.947345;1.980789;2.018572;2.061566;2.104128;2.150597;2.198803;2.247445;2.273068;2.305642;2.332566;2.365138;2.418556;2.490649;2.567519;2.663498;2.748186;2.822884;2.909309;2.994431;3.061746;3.121245;3.181177;3.205064;3.224606;3.242412;3.251098;4.210853,2.77725;1.958169;1.787056;1.615944;1.462203;1.327571;1.203362;1.07959;0.958855;0.852016;0.749528;0.648331;0.542365;0.431187;0.32652;0.220553;0.115444;0.011655;-0.041341;-0.107349;-0.163359;-0.227238;-0.32929;-0.474696;-0.628932;-0.819587;-0.98843;-1.138466;-1.310691;-1.482804;-1.616185;-1.737549;-1.856985;-1.906578;-1.946922;-1.982967;-2;-2
30E_25kV,Clearing,1.82835;1.865702;1.893062;1.923462;1.94344;1.967759;1.999896;2.042457;2.096743;2.148859;2.216176;2.285663;2.367743;2.436797;2.502375;2.572731;2.640916;2.710403;2.776415;2.866314;2.951435;3.03569;3.113429;3.188993;3.268035;3.333615;3.412222;3.490394;3.560749;3.644569;3.716661;3.783109;3.861715;3.889945;3.958129;3.997649;4.096235;4.18483;4.210019;4.210019,2.78029;1.570776;1.291524;1.063956;0.961027;0.859403;0.752133;0.627048;0.47982;0.347369;0.191898;0.042497;-0.124302;-0.26241;-0.384471;-0.514705;-0.635824;-0.748362;-0.84436;-0.959002;-1.062984;-1.161151;-1.248721;-1.326979;-1.401209;-1.457175;-1.517126;-1.567031;-1.603801;-1.642065;-1.67162;-1.696804;-1.721246;-1.730487;-1.744727;-1.752027;-1.769551;-1.779892;-1.785156;-2
40E_25kV,Melting,1.903486;1.918251;1.929107;1.947345;1.969495;1.996857;2.037247;2.066777;2.100653;2.131923;2.174484;2.221388;2.252656;2.279583;2.306509;2.330396;2.360796;2.393802;2.432455;2.471541;2.524959;2.558833;2.627017;2.692162;2.753398;2.817239;2.882383;2.944487;3.011803;3.07825;3.15121;3.217658;3.274984;3.306253;3.334916;3.359238;3.382689;3.402667;3.414393;4.210853,2.776815;1.96338;1.748404;1.52561;1.329308;1.133877;0.936705;0.827699;0.726507;0.640948;0.525434;0.412511;0.337379;0.278319;0.218378;0.165393;0.100267;0.032054;-0.047837;-0.12604;-0.234182;-0.299296;-0.434743;-0.564633;-0.685922;-0.813609;-0.943476;-1.066513;-1.200659;-1.332547;-1.476254;-1.607303;-1.723538;-1.785156;-1.844664;-1.89279;-1.939302;-1.974694;-2;-2
40E_25kV,Clearing,1.950822;1.971234;1.982958;1.99729;2.015532;2.030733;2.050708;2.069383;2.094139;2.129316;2.164496;2.207489;2.267857;2.355151;2.451562;2.527564;2.607908;2.690425;2.765558;2.841125;2.904532;2.96707;3.029173;3.096924;3.169451;3.245888;3.3119;3.390506;3.470851;3.542509;3.623289;3.698855;3.767039;3.846515;3.920345;3.982015;4.048026;4.128806;4.209585;4.209585,2.781158;1.955129;1.724952;1.516057;1.349287;1.225947;1.109119;1.019656;0.912817;0.788175;0.694807;0.580149;0.429009;0.231419;0.02686;-0.129479;-0.287098;-0.445269;-0.580705;-0.711527;-0.819014;-0.912929;-1.000435;-1.08197;-1.167491;-1.254145;-1.323306;-1.400117;-1.47237;-1.530178;-1.5867;-1.628932;-1.659556;-1.694649;-1.723538;-1.742321;-1.759451;-1.772113;-1.779892;-2
50E_25kV,Melting,2.00033;2.023783;2.03464;2.045499;2.057658;2.073726;2.095441;2.116724;2.128448;2.140175;2.154506;2.167536;2.178827;2.193158;2.209662;2.221821;2.237021;2.255263;2.276108;2.300428;2.344292;2.369917;2.399881;2.45634;2.517576;2.58272;2.658287;2.740803;2.825056;2.925812;3.057837;3.122114;3.17944;3.245888;3.281065;3.339694;3.396152;3.446531;3.516403;4.210853,2.779855;2.013322;1.817457;1.658939;1.517793;1.370567;1.222037;1.092184;1.032252;0.973188;0.9189;0.865915;0.821618;0.772974;0.722165;0.683947;0.638349;0.586227;0.532372;0.468967;0.36169;0.3009;0.234441;0.11284;-0.013945;-0.143815;-0.288868;-0.454817;-0.620694;-0.821311;-1.086716;-1.211832;-1.325139;-1.459671;-1.530178;-1.647817;-1.759451;-1.863279;-2;-2
50E_25kV,Clearing,2.048104;2.070252;2.089361;2.10847;2.119328;2.133226;2.153202;2.174484;2.194894;2.22573;2.258302;2.295651;2.333435;2.376431;2.428546;2.484569;2.575771;2.681305;2.752963;2.832873;2.918864;2.971413;3.028738;3.086502;3.159029;3.240242;3.327968;3.400495;3.469982;3.535995;3.596796;3.653255;3.762697;3.820892;3.938586;3.993307;4.101011;4.158338;4.209585;4.209585,2.781158;2.032433;1.767947;1.549062;1.425288;1.3102;1.192071;1.080024;0.973188;0.865045;0.750393;0.636177;0.532805;0.416857;0.293517;0.173215;-0.004409;-0.204189;-0.335734;-0.476904;-0.623241;-0.711527;-0.79915;-0.885056;-0.985479;-1.089376;-1.197226;-1.281498;-1.356547;-1.424812;-1.482804;-1.533132;-1.614394;-1.647817;-1.707744;-1.725842;-1.756962;-1.769551;-1.779892;-2
65E_25kV,Melting,2.112813;2.141478;2.169272;2.200541;2.219215;2.242668;2.270029;2.300863;2.326487;2.356452;2.387288;2.417254;2.45026;2.484135;2.53017;2.57664;2.629189;2.684779;2.765124;2.833742;2.893674;2.95187;3.017447;3.071735;3.125153;3.198115;3.275852;3.304951;3.340997;3.380083;3.40701;3.43741;3.460429;3.485183;3.5082;3.531653;3.555973;3.57291;3.595937;4.210853,2.779855;2.012453;1.601611;1.283708;1.155157;1.023565;0.905002;0.790785;0.706094;0.61272;0.525434;0.444654;0.361256;0.279621;0.17234;0.067666;-0.048711;-0.166407;-0.334044;-0.473015;-0.593801;-0.710634;-0.841638;-0.950782;-1.058489;-1.202732;-1.357535;-1.416801;-1.489455;-1.567031;-1.621602;-1.679854;-1.728158;-1.777284;-1.823909;-1.869666;-1.917215;-1.950782;-2;-2
65E_25kV,Clearing,2.16102;2.184473;2.192724;2.203147;2.214004;2.223994;2.232244;2.264383;2.283491;2.309115;2.338213;2.368612;2.403356;2.435494;2.473712;2.520616;2.574469;2.647864;2.743843;2.835045;2.94579;3.03178;3.1169;3.202458;3.301477;3.365752;3.427856;3.492132;3.560316;3.631974;3.700158;3.764;3.834355;3.867796;3.936848;4.002861;4.062793;4.163984;4.214362;4.214362,2.782461;2.017668;1.863926;1.703237;1.567737;1.465243;1.367961;1.168618;1.065258;0.9645;0.853753;0.743878;0.634437;0.542365;0.438574;0.321743;0.191451;0.037267;-0.157266;-0.32929;-0.521722;-0.661145;-0.788879;-0.90763;-1.031984;-1.101275;-1.166216;-1.230623;-1.291579;-1.35164;-1.405607;-1.450997;-1.490797;-1.508638;-1.540608;-1.565431;-1.581699;-1.603801;-1.610834;-2
80E_25kV,Melting,2.199239;2.233547;2.24397;2.254828;2.270462;2.287401;2.30477;2.319972;2.337779;2.359059;2.386419;2.418122;2.454603;2.495426;2.540593;2.582285;2.629624;2.67175;2.724734;2.788575;2.842862;2.907572;2.967939;3.030478;3.102135;3.17032;3.24719;3.285407;3.325362;3.364883;3.397022;3.431764;3.46868;3.499081;3.528177;3.586373;3.638922;3.681917;3.717096;4.210853,2.779855;2.01072;1.870441;1.732334;1.557748;1.39315;1.258084;1.159498;1.057004;0.947997;0.828131;0.719555;0.607509;0.494155;0.378198;0.27614;0.167583;0.078094;-0.030025;-0.157703;-0.263285;-0.391795;-0.511167;-0.633764;-0.776245;-0.909742;-1.059982;-1.138466;-1.216811;-1.295849;-1.358526;-1.429457;-1.501689;-1.563837;-1.621602;-1.737549;-1.844664;-1.928118;-2;-2
80E_25kV,Clearing,2.244838;2.284361;2.303468;2.3178;2.33387;2.351241;2.389458;2.414214;2.433757;2.458946;2.49282;2.544936;2.597486;2.650035;2.713008;2.773809;2.83461;2.89628;2.95187;3.015712;3.073905;3.124719;3.193336;3.264128;3.342734;3.416564;3.4778;3.551195;3.627197;3.697553;3.764868;3.830446;3.896025;3.958997;4.015888;4.073216;4.132714;4.196558;4.216533;4.216533,2.78333;1.926899;1.682825;1.521268;1.375343;1.244188;1.033552;0.916296;0.835513;0.749528;0.653541;0.510223;0.377761;0.248341;0.113709;-0.004409;-0.127727;-0.245881;-0.349207;-0.463442;-0.56687;-0.648977;-0.756962;-0.855737;-0.956245;-1.044312;-1.116339;-1.196543;-1.270835;-1.337242;-1.393619;-1.443697;-1.485452;-1.519993;-1.548214;-1.571865;-1.590067;-1.605548;-1.610834;-2
100E_25kV,Melting,2.291742;2.325618;2.338213;2.349938;2.362967;2.377299;2.39554;2.414214;2.434192;2.455037;2.475449;2.504982;2.53625;2.570559;2.608343;2.656115;2.700413;2.744277;2.802907;2.863708;2.920601;2.981836;3.044375;3.105609;3.15425;3.220262;3.293659;3.367924;3.450004;3.512978;3.576819;3.642831;3.698855;3.760525;3.802651;3.820023;3.826972;4.210853,2.773341;2.055886;1.882601;1.735809;1.593794;1.472192;1.341903;1.225511;1.117374;1.011837;0.925848;0.826826;0.735192;0.636177;0.535421;0.421637;0.317834;0.216219;0.088951;-0.04436;-0.168578;-0.299296;-0.428291;-0.55424;-0.653256;-0.784362;-0.929593;-1.077794;-1.241088;-1.368556;-1.496209;-1.628932;-1.739929;-1.866461;-1.950782;-1.982967;-2;-2
100E_25kV,Clearing,2.338213;2.368612;2.397711;2.417688;2.438534;2.461551;2.525393;2.569691;2.613121;2.64743;2.689557;2.729076;2.779889;2.839822;2.904532;2.95187;2.993127;3.040032;3.093884;3.152515;3.217658;3.274116;3.32406;3.375307;3.433501;3.482143;3.538166;3.595927;3.656729;3.715793;3.774857;3.829578;3.88039;3.936414;3.996347;4.056714;4.111;4.177447;4.217837;4.217837,2.780724;2.053712;1.69846;1.503896;1.348418;1.20814;0.90804;0.772109;0.650939;0.564086;0.465502;0.367337;0.250956;0.123263;-0.014394;-0.113002;-0.20204;-0.291494;-0.394372;-0.501689;-0.612432;-0.706196;-0.784098;-0.862013;-0.94424;-1.008331;-1.074688;-1.140261;-1.205512;-1.267606;-1.325139;-1.376751;-1.419075;-1.462181;-1.50307;-1.539102;-1.568636;-1.59346;-1.607303;-2
125E_25kV,Melting,2.478923;2.506284;2.515405;2.525393;2.537553;2.54841;2.56361;2.57968;2.596183;2.614424;2.634835;2.656115;2.680436;2.707362;2.73342;2.766426;2.796393;2.838085;2.878474;2.914955;2.954041;2.997036;3.034821;3.07912;3.124719;3.179006;3.235897;3.294528;3.351854;3.415261;3.48996;3.528612;3.563789;3.637185;3.708844;3.764868;3.82176;3.874744;3.936413;4.210853,2.778986;2.257398;2.125806;1.994649;1.863058;1.734506;1.5812;1.435711;1.296738;1.166012;1.038767;0.922372;0.804249;0.690028;0.590574;0.478523;0.388616;0.27614;0.171902;0.085041;-0.006167;-0.102153;-0.185087;-0.281083;-0.375305;-0.486916;-0.602929;-0.719649;-0.834756;-0.960189;-1.10902;-1.186419;-1.255707;-1.402305;-1.545155;-1.655608;-1.772113;-1.876148;-2;-2
125E_25kV,Clearing,2.522353;2.560136;2.583155;2.605303;2.626584;2.648299;2.672619;2.70215;2.73646;2.777283;2.807249;2.847639;2.886726;2.937972;2.997036;3.044375;3.084762;3.121678;3.164674;3.201154;3.245019;3.288012;3.329705;3.372266;3.41309;3.452176;3.493869;3.542944;3.598968;3.667152;3.742285;3.801349;3.853898;3.90862;3.96334;4.035866;4.137493;4.18483;4.217402;4.217402,2.78029;2.081941;1.775764;1.550799;1.363183;1.200758;1.045714;0.898923;0.747785;0.600559;0.498931;0.382971;0.281352;0.159327;0.032941;-0.072578;-0.160773;-0.235002;-0.321027;-0.393081;-0.473015;-0.548214;-0.621057;-0.691009;-0.7597;-0.821887;-0.880744;-0.948462;-1.019088;-1.106238;-1.196543;-1.262807;-1.318759;-1.374688;-1.424812;-1.488117;-1.560667;-1.5867;-1.60206;-2
150E_25kV,Melting,2.556228;2.593143;2.604;2.615292;2.627452;2.639178;2.65351;2.669145;2.686951;2.70823;2.728208;2.75166;2.778152;2.807684;2.841559;2.874131;2.910178;2.95491;2.993996;3.038294;3.087803;3.132103;3.191166;3.238503;3.295831;3.344471;3.398757;3.446531;3.493434;3.542509;3.585939;3.630671;3.681917;3.730559;3.788754;3.858676;3.904276;3.951614;4.033697;4.210853,2.779421;2.038513;1.88651;1.743627;1.610298;1.484787;1.364052;1.247662;1.132138;1.01097;0.902395;0.793825;0.690896;0.591443;0.488945;0.396443;0.301334;0.191032;0.100681;0.000347;-0.10646;-0.201557;-0.321846;-0.417823;-0.529884;-0.625802;-0.734004;-0.829152;-0.921543;-1.020452;-1.104577;-1.194499;-1.296709;-1.392545;-1.510042;-1.649752;-1.739929;-1.835647;-2;-2
150E_25kV,Clearing,2.598788;2.630926;2.651772;2.670013;2.690859;2.712139;2.737329;2.764689;2.77902;2.799432;2.822884;2.852851;2.891068;2.932327;2.986613;3.03569;3.086068;3.149909;3.206367;3.253704;3.304951;3.3575;3.406576;3.456953;3.507765;3.559012;3.620249;3.681049;3.74489;3.816983;3.889076;3.968118;4.030656;4.080165;4.122291;4.167459;4.204809;4.219139;4.219139,2.781158;2.068479;1.797479;1.586412;1.39315;1.240277;1.082627;0.922808;0.843332;0.754738;0.671349;0.580149;0.473312;0.362558;0.228811;0.114578;0.009493;-0.114695;-0.229369;-0.316683;-0.405718;-0.497709;-0.577246;-0.657183;-0.73969;-0.816161;-0.902396;-0.98464;-1.061981;-1.14691;-1.226214;-1.303644;-1.360514;-1.400117;-1.431798;-1.462181;-1.484126;-1.493495;-2
175E_25kV,Melting,2.623978;2.649601;2.671315;2.682607;2.696505;2.709968;2.7243;2.74254;2.762952;2.785536;2.805947;2.829833;2.851982;2.876737;2.902795;2.933195;2.96707;2.997036;3.027435;3.065654;3.101702;3.144696;3.187258;3.228516;3.278893;3.343604;3.394849;3.455217;3.506029;3.555538;3.592453;3.639357;3.688866;3.749234;3.852161;3.942928;3.976369;4.010677;4.066699;4.210853,2.781592;2.048069;1.734941;1.588583;1.440054;1.315412;1.205535;1.083932;0.964933;0.851582;0.760385;0.667004;0.586666;0.512404;0.436401;0.349976;0.262688;0.189294;0.117636;0.029465;-0.050903;-0.141222;-0.230697;-0.315783;-0.417823;-0.546376;-0.649364;-0.769551;-0.872247;-0.973058;-1.04624;-1.140261;-1.238072;-1.359519;-1.568636;-1.74958;-1.818156;-1.886057;-2;-2
175E_25kV,Clearing,2.669145;2.688688;2.710836;2.729945;2.743843;2.762952;2.785969;2.82245;2.844165;2.872394;2.90236;2.937538;2.97011;3.001812;3.039597;3.083897;3.132103;3.17944;3.230252;3.278024;3.319716;3.363145;3.407444;3.450874;3.500383;3.545115;3.59723;3.686261;3.765303;3.840001;3.914265;3.985055;4.045421;4.087547;4.122727;4.152692;4.18483;4.2009;4.214796;4.214796,2.78029;2.080641;1.764039;1.535599;1.400099;1.218997;1.066993;0.882416;0.787305;0.682641;0.58406;0.480697;0.393838;0.313065;0.220108;0.118066;0.012542;-0.085181;-0.188559;-0.278025;-0.354479;-0.429574;-0.50515;-0.576754;-0.656198;-0.725842;-0.803824;-0.925915;-1.028724;-1.123205;-1.209715;-1.284833;-1.346787;-1.387216;-1.420216;-1.447332;-1.471083;-1.481486;-1.490797;-2
200E_25kV,Melting,2.687384;2.713443;2.7243;2.736894;2.75166;2.772072;2.795958;2.813764;2.838085;2.863708;2.8902;2.916692;2.94579;2.97619;3.010499;3.045245;3.08346;3.123417;3.144263;3.184652;3.226345;3.27455;3.319716;3.367488;3.418735;3.466507;3.5234;3.571608;3.627197;3.664546;3.70841;3.760525;3.814377;3.859544;3.958563;4.005901;4.044552;4.083639;4.134464;4.217484,2.781592;2.06761;1.899539;1.724952;1.571211;1.420076;1.257215;1.134311;0.996639;0.866783;0.749087;0.647901;0.547578;0.450726;0.354742;0.259211;0.161488;0.065057;0.01515;-0.075617;-0.169475;-0.270673;-0.364919;-0.464326;-0.568154;-0.664943;-0.778325;-0.868702;-0.979639;-1.055024;-1.142065;-1.244888;-1.353596;-1.444906;-1.645892;-1.739929;-1.818156;-1.899629;-2;-2
200E_25kV,Clearing,2.731683;2.759912;2.779455;2.80421;2.827661;2.848942;2.874131;2.914955;2.939275;2.967939;2.998774;3.033082;3.069565;3.10778;3.147302;3.191599;3.239807;3.28758;3.334916;3.377477;3.425684;3.473023;3.515584;3.557709;3.600705;3.64674;3.688866;3.744456;3.798309;3.851727;3.90775;3.962037;4.017192;4.06236;4.103184;4.139665;4.170065;4.196991;4.218706;4.218706,2.77725;2.02592;1.744929;1.504764;1.333217;1.185992;1.040068;0.832911;0.729116;0.630967;0.53107;0.429009;0.331731;0.234897;0.137607;0.040761;-0.05829;-0.151626;-0.238072;-0.315334;-0.401319;-0.483068;-0.558148;-0.628009;-0.700057;-0.771856;-0.834756;-0.914709;-0.993534;-1.070581;-1.144481;-1.213249;-1.279841;-1.331614;-1.376751;-1.412289;-1.443697;-1.464706;-1.484126;-2
15E_14.4kV,Melting,1.476136;1.478307;1.483088;1.494377;1.51088;1.536508;1.553446;1.567779;1.584275;1.603826;1.625107;1.650288;1.675916;1.704579;1.730637;1.754088;1.780144;1.805331;1.834866;1.869173;1.909567;1.947782;1.991647;2.042457;2.104128;2.135397;2.171009;2.21053;2.259606;2.304338;2.363401;2.47762;2.517576;2.574034;2.618766;2.666104;2.716917;2.804644;2.96895;4.266467,2.778986;1.897367;1.684563;1.512582;1.337126;1.155591;1.068297;1.005759;0.944522;0.885892;0.819879;0.749087;0.674824;0.596223;0.531504;0.472449;0.409899;0.348675;0.281783;0.206664;0.122412;0.040761;-0.048274;-0.151626;-0.274987;-0.339229;-0.410497;-0.488651;-0.588549;-0.676748;-0.795609;-1.022734;-1.102923;-1.21467;-1.303644;-1.399027;-1.497573;-1.673664;-2;-2
15E_14.4kV,Clearing,1.523473;1.547369;1.586452;1.632923;1.675045;1.726727;1.814021;1.91;2.015967;2.126278;2.230508;2.324315;2.424202;2.51497;2.611383;2.711271;2.790313;2.851113;2.902795;2.955778;3.027435;3.077815;3.133839;3.191599;3.29279;3.350116;3.420038;3.560316;3.629803;3.687998;3.734901;3.787451;3.847818;3.899933;3.950311;3.999387;4.051935;4.157036;4.266479;4.266479,2.78029;1.492604;1.155591;0.943653;0.816407;0.673519;0.457246;0.247924;0.033826;-0.179864;-0.381429;-0.557207;-0.735654;-0.885056;-1.034328;-1.174574;-1.275724;-1.345823;-1.396856;-1.442493;-1.496209;-1.527244;-1.552842;-1.578396;-1.61261;-1.627088;-1.643974;-1.67162;-1.686133;-1.696804;-1.705534;-1.716699;-1.728158;-1.737549;-1.744727;-1.752027;-1.759451;-1.772113;-1.782516;-2
20E_14.4kV,Melting,1.602082;1.619886;1.635956;1.654629;1.665487;1.679818;1.695893;1.714128;1.733679;1.754952;1.778838;1.801856;1.826612;1.846591;1.873518;1.900012;1.929542;1.95864;2.00337;2.045933;2.088058;2.130186;2.235718;2.31476;2.384248;2.458512;2.538422;2.618332;2.687819;2.726906;2.763386;2.79509;2.830702;2.865879;2.906703;2.947961;2.984442;3.017447;3.071145;4.266467,2.784633;1.539941;1.334086;1.189032;1.12215;1.048752;0.979266;0.909781;0.839855;0.769503;0.699578;0.635735;0.56799;0.514999;0.448552;0.385159;0.315656;0.250518;0.150204;0.057704;-0.03091;-0.116907;-0.332734;-0.488651;-0.625802;-0.774949;-0.932185;-1.094744;-1.231362;-1.310691;-1.38405;-1.446117;-1.518557;-1.58838;-1.669586;-1.752027;-1.826814;-1.89279;-2;-2
20E_14.4kV,Clearing,1.651162;1.665055;1.683731;1.711529;1.735415;1.768416;1.804902;1.844856;1.886547;1.930409;2.03247;2.104128;2.137569;2.207489;2.26916;2.341252;2.453734;2.547107;2.622241;2.711705;2.799432;2.877605;2.955344;3.03178;3.099529;3.172057;3.235897;3.269772;3.30799;3.350552;3.388336;3.483446;3.547721;3.629803;3.778765;3.909922;4.050635;4.193083;4.266043;4.266043,2.782895;1.539074;1.329308;1.137784;1.023129;0.907175;0.786006;0.668311;0.551047;0.436401;0.201889;0.048558;-0.021774;-0.163803;-0.28929;-0.427012;-0.628009;-0.787014;-0.906578;-1.040959;-1.163043;-1.261219;-1.347754;-1.421361;-1.477556;-1.527244;-1.559091;-1.576754;-1.59176;-1.609065;-1.621602;-1.649752;-1.669586;-1.686133;-1.714443;-1.737549;-1.759451;-1.777284;-1.785156;-2
25E_14.4kV,Melting,1.700236;1.719779;1.741057;1.761905;1.792308;1.824009;1.853108;1.871783;1.888719;1.909567;1.928672;1.951692;1.972101;1.994251;2.018572;2.086321;2.121501;2.151465;2.180129;2.211398;2.253091;2.282189;2.309549;2.33691;2.371219;2.407265;2.443746;2.482832;2.561005;2.603131;2.664367;2.707797;2.7547;2.840691;2.8902;2.947527;3.000512;3.070865;3.133539;4.266467,2.785067;1.365355;1.158197;1.03529;0.89545;0.766026;0.666143;0.614454;0.566685;0.511536;0.461153;0.405124;0.360404;0.312622;0.257463;0.105885;0.029465;-0.034375;-0.095176;-0.158578;-0.242832;-0.298864;-0.351835;-0.40749;-0.476514;-0.546835;-0.621057;-0.698753;-0.854182;-0.937794;-1.059982;-1.14752;-1.241088;-1.412289;-1.514279;-1.625252;-1.732828;-1.872895;-2;-2
25E_14.4kV,Clearing,1.737153;1.759736;1.771021;1.784924;1.809243;1.839641;1.869607;1.908694;1.950822;1.994251;2.042457;2.088494;2.134528;2.185774;2.273936;2.37035;2.459815;2.587063;2.700413;2.799867;2.953607;3.094317;3.154686;3.202891;3.24936;3.297134;3.374873;3.474326;3.60418;3.671061;3.730559;3.791794;3.852595;3.904276;3.95726;4.00069;4.072783;4.124899;4.26474;4.26474,2.784633;1.386636;1.275889;1.172095;1.042674;0.912817;0.800772;0.677434;0.56278;0.448984;0.339113;0.236184;0.133251;0.022511;-0.155088;-0.33885;-0.512579;-0.742802;-0.926282;-1.077794;-1.28735;-1.434152;-1.482804;-1.514279;-1.542118;-1.562249;-1.59346;-1.623423;-1.657577;-1.673664;-1.686133;-1.701147;-1.714443;-1.723538;-1.735182;-1.742321;-1.754487;-1.764472;-1.782516;-2
30E_14.4kV,Melting,1.778838;1.793176;1.800992;1.810978;1.823142;1.836166;1.850499;1.87048;1.892629;1.917815;1.947345;1.980789;2.018572;2.061566;2.104128;2.150597;2.198803;2.247445;2.273068;2.305642;2.332566;2.365138;2.418556;2.490649;2.567519;2.663498;2.748186;2.822884;2.909309;2.994431;3.061746;3.121245;3.181177;3.205064;3.224606;3.242412;3.251098;4.266467,2.77725;1.958169;1.787056;1.615944;1.462203;1.327571;1.203362;1.07959;0.958855;0.852016;0.749528;0.648331;0.542365;0.431187;0.32652;0.220553;0.115444;0.011655;-0.041341;-0.107349;-0.163359;-0.227238;-0.32929;-0.474696;-0.628932;-0.819587;-0.98843;-1.138466;-1.310691;-1.482804;-1.616185;-1.737549;-1.856985;-1.906578;-1.946922;-1.982967;-2;-2
30E_14.4kV,Clearing,1.822273;1.830954;1.846158;1.857881;1.869173;1.883508;1.897402;1.913909;1.929542;1.946044;1.972536;2.003805;2.038986;2.08024;2.117155;2.160586;2.240062;2.33995;2.430283;2.551885;2.660893;2.921903;2.964899;3.007026;3.040464;3.077815;3.120811;3.159898;3.196378;3.263693;3.334482;3.428724;3.532954;3.648043;3.761828;3.88343;4.008941;4.114474;4.265174;4.265174,2.782027;2.139703;1.879127;1.694117;1.534297;1.380555;1.248096;1.121714;1.023129;0.931931;0.828131;0.727379;0.625755;0.513271;0.424244;0.321743;0.145849;-0.066969;-0.251115;-0.484259;-0.684449;-1.099087;-1.161781;-1.219683;-1.262013;-1.306273;-1.350665;-1.386158;-1.417937;-1.467246;-1.508638;-1.554396;-1.598599;-1.638272;-1.673664;-1.703335;-1.732828;-1.752027;-1.782516;-2
