Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Upstream_Device_Type,Downstream_Equipment_Number,Downstream_Equipment_ID,Downstream_Device_Type,Check_Type,Phase_Fault_Current_A,Phase_Upstream_Time_s,Phase_Downstream_Time_s,Phase_Margin_s,Phase_Required_Margin_s,Phase_Violation,Ground_Fault_Current_A,Ground_Upstream_Time_s,Ground_Downstream_Time_s,Ground_Margin_s,Ground_Required_Margin_s,Ground_Violation,Upstream_Phase_Pickup_A,Upstream_Phase_Curve,Upstream_Phase_TD,Upstream_Ground_Pickup_A,Upstream_Ground_Curve,Upstream_Ground_TD,Downstream_Phase_Pickup_A,Downstream_Phase_Curve,Downstream_Phase_TD,Downstream_Ground_Pickup_A,Downstream_Ground_Curve,Downstream_Ground_TD,Upstream_Total_Customers,Downstream_Total_Customers,Customers_Erroneously_Disconnected,Upstream_Device_Downstream_A_PH_cKVA,Upstream_Device_Downstream_B_PH_cKVA,Upstream_Device_Downstream_C_PH_cKVA,Upstream_Device_Total_Downstream_3PH_cKVA,Downstream_Device_Downstream_A_PH_cKVA,Downstream_Device_Downstream_B_PH_cKVA,Downstream_Device_Downstream_C_PH_cKVA,Downstream_Device_Total_Downstream_3PH_cKVA,Notes
67091201,67091201,DEFAULT_BREAKER,Breaker,92381634,K_65A,Fuse,Breaker-Fuse,,,,,0.0,False,1329.0,0.0170,0.0795,-0.0625,0.0,True,,,,400.0000,102,1.0000,,,,,65K,,149,3,146,660.0,1095.0,642.0,300.0,0.0,0.0,38.0,0,
67091201,67091201,DEFAULT_BREAKER,Breaker,2T17_38935242,T_80A,Fuse,Breaker-Fuse,1767.0,0.0110,0.2334,-0.2224,0.0,True,1395.0,0.0167,0.3689,-0.3522,0.0,True,480.0000,121,1.0000,400.0000,102,1.0000,,80T,,,80T,,149,11,138,660.0,1095.0,642.0,300.0,25.0,75.0,115.0,0,
67091201,67091201,DEFAULT_BREAKER,Breaker,38931311,T_80A,Fuse,Breaker-Fuse,,,,,0.0,False,2636.0,0.0158,0.1090,-0.0931,0.0,True,,,,400.0000,102,1.0000,,,,,80T,,149,2,147,660.0,1095.0,642.0,300.0,0.0,0.0,25.0,0,
67091201,67091201,DEFAULT_BREAKER,Breaker,2T17_651585125,TRIPSAVER_II_100A,TripSaver,Breaker-TripSaver,,,,,0.2,False,1395.0,0.0167,0.3386,-0.3219,0.2,True,,,,400.0000,102,1.0000,,,,,TS80T,,149,36,113,660.0,1095.0,642.0,300.0,372.0,0.0,0.0,0,
67091201,67091201,DEFAULT_BREAKER,Breaker,2T5_651585130,TRIPSAVER_II_100A,TripSaver,Breaker-TripSaver,2150.0,0.0110,0.1681,-0.1571,0.2,True,1876.0,0.0159,0.2067,-0.1908,0.2,True,480.0000,121,1.0000,400.0000,102,1.0000,,TS80T,,,TS80T,,149,25,124,660.0,1095.0,642.0,300.0,100.0,185.0,245.0,225.0,
67131203,84567587,T_50A,Fuse,201Y16_675862897,T_40A,Fuse,Fuse-Fuse,,,,,0.0,False,2040.0,0.0466,0.0583,-0.0118,0.0,True,,,,,50T,,,,,,40T,,10,0,10,0.0,0.0,175.0,0,0.0,0.0,0.0,0,
67131203,2QDN60_854111083,VPST_800A,Recloser,L367P30_112948230,VPSS_800A,Recloser,Recloser-Recloser,,,,,0.22,False,1339.0,0.5824,0.3701,0.2123,0.22,True,,,,380.0000,U4,1.0000,,,,200.0000,U4,2.0000,826,72,754,4502.0,5804.0,3685.0,75.0,0.0,1262.0,0.0,0,
67131203,2QDN60_854111083,VPST_800A,Recloser,1DXM69_39010938,L_100A,Recloser,Recloser-Recloser,,,,,0.22,False,1474.0,0.4899,0.3855,0.1044,0.22,True,,,,380.0000,U4,1.0000,,,,200.0000,L,,826,115,711,4502.0,5804.0,3685.0,75.0,1702.0,0.0,0.0,0,
67271201,67271201,DEFAULT_BREAKER,Breaker,1MCA75_161279271,K_65A,Fuse,Breaker-Fuse,,,,,0.0,False,3916.0,0.0121,0.0194,-0.0072,0.0,True,,,,450.0000,104,1.0000,,,,,65K,,543,3,540,2684.0,3037.0,3182.0,3120.0,50.0,0.0,0.0,0,
67271201,67271201,DEFAULT_BREAKER,Breaker,38920895,T_80A,Fuse,Breaker-Fuse,3835.0,0.0187,0.0584,-0.0397,0.0,True,3744.0,0.0125,0.0608,-0.0482,0.0,True,750.0000,104,1.0000,450.0000,104,1.0000,,80T,,,80T,,543,6,537,2684.0,3037.0,3182.0,3120.0,38.0,38.0,88.0,112.5,
