Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Downstream_Equipment_Number,Downstream_Equipment_ID,Check_Type,Phase_Note,Ground_Note
67361202,20RG29_671672016,VPST_800A,59K13_38936830,K_25A,Recloser-Fuse,,Ground upstream: FID 671672016 not in RecloserDatabase
67361202,26JE45_787777264,VPST_800A,20RG29_671672016,VPST_800A,Recloser-Recloser,Phase upstream: FID 787777264 not in RecloserDatabase; Phase downstream: FID 671672016 not in RecloserDatabase,Ground upstream: FID 787777264 not in RecloserDatabase; Ground downstream: FID 671672016 not in RecloserDatabase
67361202,249W17_781684172,VPST_800A,26JE45_787777264,VPST_800A,Recloser-Recloser,Phase downstream: FID 787777264 not in RecloserDatabase,Ground downstream: FID 787777264 not in RecloserDatabase
67371201,F10_655909615,TRIPSAVER_II_100A,38926025,K_25A,TripSaver-Fuse,,"Ground downstream: i=2949.0 (log10=3.4697) is outside the data range [10^1.7717, 10^3.4144]."
67371201,2F4_38929077,K_80A,38935654,K_25A,Fuse-Fuse,,"Ground downstream: i=2697.0 (log10=3.4309) is outside the data range [10^1.7717, 10^3.4144]."
67371201,2ACF99_39084989,K_40A,38931699,T_65A,Fuse-Fuse,,"Ground upstream: i=2163.0 (log10=3.3351) is outside the data range [10^1.9000, 10^3.2505]."
67371201,67371201,DEFAULT_BREAKER,405761630,K_20A,Breaker-Fuse,"Phase downstream: i=3473.0 (log10=3.5407) is outside the data range [10^1.6881, 10^3.3354].","Ground downstream: i=3400.0 (log10=3.5315) is outside the data range [10^1.6881, 10^3.3354]."
67371201,2F6_38918264,K_80A,38942351,K_25A,Fuse-Fuse,"Phase downstream: i=3026.0 (log10=3.4809) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2689.0 (log10=3.4296) is outside the data range [10^1.7717, 10^3.4144]."
67371201,67371201,DEFAULT_BREAKER,38915921,K_25A,Breaker-Fuse,,"Ground downstream: i=3777.0 (log10=3.5771) is outside the data range [10^1.7717, 10^3.4144]."
67371201,2F7_655909620,TRIPSAVER_II_200A,1X7M48_652096535,K_20A,TripSaver-Fuse,,"Ground downstream: i=2614.0 (log10=3.4173) is outside the data range [10^1.6881, 10^3.3354]."
67371202,1EHY79_38930585,K_65A,38920164,K_20A,Fuse-Fuse,,"Ground downstream: i=2405.0 (log10=3.3811) is outside the data range [10^1.6881, 10^3.3354]."
67371202,1G25_752476290,UNK_UNKA,1XJJ92_652384519,K_20A,Fuse-Fuse,,Ground upstream: Cannot determine fuse curve type for 'UNK_UNKA'
67371202,1EJA37_473014171,VPST_800A,1G25_752476290,UNK_UNKA,Recloser-Fuse,,Ground downstream: Cannot determine fuse curve type for 'UNK_UNKA'
67371202,2M3W42_38923971,T_65A,88268846,K_25A,Fuse-Fuse,"Phase downstream: i=2764.0 (log10=3.4415) is outside the data range [10^1.7717, 10^3.4144].",
67371202,67371202,DEFAULT_BREAKER,1EHY76_38935672,K_20A,Breaker-Fuse,,"Ground downstream: i=2658.0 (log10=3.4246) is outside the data range [10^1.6881, 10^3.3354]."
67371202,G15_38923488,K_80A,38919356,K_25A,Fuse-Fuse,"Phase downstream: i=2921.0 (log10=3.4655) is outside the data range [10^1.7717, 10^3.4144].",
67371202,67371202,DEFAULT_BREAKER,G2_38918333,K_25A,Breaker-Fuse,"Phase downstream: i=3935.0 (log10=3.5949) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=4310.0 (log10=3.6345) is outside the data range [10^1.7717, 10^3.4144]."
67381202,67381202,DEFAULT_BREAKER,38916341,K_25A,Breaker-Fuse,"Phase downstream: i=2773.0 (log10=3.4429) is outside the data range [10^1.7717, 10^3.4144].",
67381202,67381202,DEFAULT_BREAKER,38919812,K_25A,Breaker-Fuse,"Phase downstream: i=3109.0 (log10=3.4926) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=3034.0 (log10=3.4820) is outside the data range [10^1.7717, 10^3.4144]."
67381202,2L1_38931897,T_80A,38927587,K_25A,Fuse-Fuse,,"Ground downstream: i=3409.0 (log10=3.5326) is outside the data range [10^1.7717, 10^3.4144]."
67381203,1T9C48_656016340,TRIPSAVER_II_100A,38932448,K_25A,TripSaver-Fuse,,"Ground downstream: i=2753.0 (log10=3.4398) is outside the data range [10^1.7717, 10^3.4144]."
67381203,67381203,DEFAULT_BREAKER,38929640,K_25A,Breaker-Fuse,,"Ground downstream: i=3358.0 (log10=3.5261) is outside the data range [10^1.7717, 10^3.4144]."
67381203,1T9C48_656016340,TRIPSAVER_II_100A,38928907,K_25A,TripSaver-Fuse,,"Ground downstream: i=2753.0 (log10=3.4398) is outside the data range [10^1.7717, 10^3.4144]."
67381203,67381203,DEFAULT_BREAKER,38931623,K_25A,Breaker-Fuse,,"Ground downstream: i=2623.0 (log10=3.4188) is outside the data range [10^1.7717, 10^3.4144]."
67381204,67381204,DEFAULT_BREAKER,L4_38925810,K_20A,Breaker-Fuse,,"Ground downstream: i=3853.0 (log10=3.5858) is outside the data range [10^1.6881, 10^3.3354]."
67391201,67391201,DEFAULT_BREAKER,15U5_38926984,K_25A,Breaker-Fuse,"Phase downstream: i=2858.0 (log10=3.4561) is outside the data range [10^1.7717, 10^3.4144].",
67391201,1LMG70_567873083,VPST_800A,405625531,K_20A,Recloser-Fuse,,"Ground downstream: i=2176.0 (log10=3.3377) is outside the data range [10^1.6881, 10^3.3354]."
67391201,38932324,K_80A,210T44_679178107,K_25A,Fuse-Fuse,,"Ground upstream: i=3644.0 (log10=3.5616) is outside the data range [10^2.1904, 10^3.5585].; Ground downstream: i=3644.0 (log10=3.5616) is outside the data range [10^1.7717, 10^3.4144]."
67391201,38932324,K_80A,210T44_679178105,K_25A,Fuse-Fuse,,"Ground upstream: i=3644.0 (log10=3.5616) is outside the data range [10^2.1904, 10^3.5585].; Ground downstream: i=3644.0 (log10=3.5616) is outside the data range [10^1.7717, 10^3.4144]."
67391201,1XMX15_670478630,TRIPSAVER_II_200A,38927729,K_25A,TripSaver-Fuse,"Phase downstream: i=3402.0 (log10=3.5317) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2887.0 (log10=3.4604) is outside the data range [10^1.7717, 10^3.4144]."
67391201,38922313,T_65A,38915600,K_20A,Fuse-Fuse,,"Ground downstream: i=2167.0 (log10=3.3359) is outside the data range [10^1.6881, 10^3.3354]."
67391201,67391201,DEFAULT_BREAKER,38932440,K_25A,Breaker-Fuse,,"Ground downstream: i=3546.0 (log10=3.5497) is outside the data range [10^1.7717, 10^3.4144]."
67391201,38916419,K_80A,38949767,K_25A,Fuse-Fuse,"Phase downstream: i=3291.0 (log10=3.5173) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2735.0 (log10=3.4370) is outside the data range [10^1.7717, 10^3.4144]."
67391201,UHE4_39084851,T_40A,26TE10_38931175,K_25A,Fuse-Fuse,,"Ground downstream: i=2637.0 (log10=3.4211) is outside the data range [10^1.7717, 10^3.4144]."
67391201,1HTB88_456774441,T_50A,789645277,UNK_UNKA,Fuse-Fuse,,Ground downstream: Cannot determine fuse curve type for 'UNK_UNKA'
67391201,67391201,DEFAULT_BREAKER,15U8_38920349,K_25A,Breaker-Fuse,"Phase downstream: i=2700.0 (log10=3.4314) is outside the data range [10^1.7717, 10^3.4144].",
67411201,38918818,T_80A,38923451,K_25A,Fuse-Fuse,,"Ground downstream: i=2971.0 (log10=3.4729) is outside the data range [10^1.7717, 10^3.4144]."
67411201,67411201,DEFAULT_BREAKER,396168967,K_20A,Breaker-Fuse,"Phase downstream: i=2328.0 (log10=3.3670) is outside the data range [10^1.6881, 10^3.3354].",
67411202,2DMD68_789302154,T_80A,1YNX96_669043877,K_20A,Fuse-Fuse,,"Ground downstream: i=2354.0 (log10=3.3718) is outside the data range [10^1.6881, 10^3.3354]."
67411202,67411202,DEFAULT_BREAKER,38925204,K_25A,Breaker-Fuse,"Phase downstream: i=2661.0 (log10=3.4250) is outside the data range [10^1.7717, 10^3.4144].",
67411202,1FDL03_39084453,T_80A,38923713,K_20A,Fuse-Fuse,"Phase downstream: i=2981.0 (log10=3.4744) is outside the data range [10^1.6881, 10^3.3354].","Ground downstream: i=2933.0 (log10=3.4673) is outside the data range [10^1.6881, 10^3.3354]."
67411202,38923830,T_50A,38929460,K_20A,Fuse-Fuse,"Phase downstream: i=2599.0 (log10=3.4148) is outside the data range [10^1.6881, 10^3.3354].","Ground downstream: i=2326.0 (log10=3.3666) is outside the data range [10^1.6881, 10^3.3354]."
67411202,67411202,DEFAULT_BREAKER,38925192,K_20A,Breaker-Fuse,"Phase downstream: i=2622.0 (log10=3.4186) is outside the data range [10^1.6881, 10^3.3354].","Ground downstream: i=2368.0 (log10=3.3744) is outside the data range [10^1.6881, 10^3.3354]."
67411202,67411202,DEFAULT_BREAKER,38918098,K_25A,Breaker-Fuse,"Phase downstream: i=2822.0 (log10=3.4506) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2668.0 (log10=3.4262) is outside the data range [10^1.7717, 10^3.4144]."
67411202,67411202,DEFAULT_BREAKER,38925240,K_20A,Breaker-Fuse,"Phase downstream: i=2641.0 (log10=3.4218) is outside the data range [10^1.6881, 10^3.3354].","Ground downstream: i=2397.0 (log10=3.3797) is outside the data range [10^1.6881, 10^3.3354]."
67411202,67411202,DEFAULT_BREAKER,38923727,K_25A,Breaker-Fuse,"Phase downstream: i=2908.0 (log10=3.4636) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2812.0 (log10=3.4490) is outside the data range [10^1.7717, 10^3.4144]."
67421201,67421201,DEFAULT_BREAKER,38929873,K_25A,Breaker-Fuse,,"Ground downstream: i=3270.0 (log10=3.5145) is outside the data range [10^1.7717, 10^3.4144]."
67421201,67421201,DEFAULT_BREAKER,38930025,K_25A,Breaker-Fuse,,"Ground downstream: i=3270.0 (log10=3.5145) is outside the data range [10^1.7717, 10^3.4144]."
67421202,AL7_38926271,T_25A,2EDG42_785639293,K_20A,Fuse-Fuse,,"Ground upstream: i=2127.0 (log10=3.3278) is outside the data range [10^1.7089, 10^3.3155]."
67421202,1Q4W37_38940933,SMU-20_(E)_175A,1W5F40_657987090,K_20A,Fuse-Fuse,,"Ground downstream: i=3524.0 (log10=3.5470) is outside the data range [10^1.6881, 10^3.3354]."
